~column,missing_count,missing_percent
_id,0,0.0
source,0,0.0
timestamp,0,0.0
name,0,0.0
city,0,0.0
country,0,0.0
categories,0,0.0
longitude,0,0.0
latitude,0,0.0
website,0,0.0
formatted_address,0,0.0
timestamp_year,0,0.0
