_id,source,timestamp,name,city,country,postcode,street,categories,longitude,latitude,website,formatted_address
69c1c9ec21c9fc4ece6b36ac,geoapify_json,2026-03-24 00:17:00.279,Crkva svetog Vinka Paulskoga,Sarajevo,Bosnia and Herzegovina,71000,Maršala Tita,"building, building.historic, building.place_of_worship, religion, religion.place_of_worship, religion.place_of_worship.christianity, tourism, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.church",18.41883045907473,43.858707200536784,,"Crkva svetog Vinka Paulskoga, Maršala Tita, 71000 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36ad,geoapify_json,2026-03-24 00:17:00.280,Museum of the Jews of Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina,71000,Velika avlija - Mula Mustafe Bašeskije,"building, building.historic, building.tourism, entertainment, entertainment.museum, heritage, tourism, tourism.sights",18.427801026409924,43.85983370053676,,"Museum of the Jews of Bosnia and Herzegovina, Velika avlija - Mula Mustafe Bašeskije bb, 71000 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36ae,geoapify_json,2026-03-24 00:17:00.280,Sarajevska sahat-kula,Sarajevo,Bosnia and Herzegovina,71200,Mudželiti veliki,"building, building.historic, building.tourism, heritage, man_made, man_made.tower, tourism, tourism.attraction, tourism.sights, tourism.sights.tower",18.428558717983485,43.85920950053678,,"Sarajevo Clock Tower, Mudželiti veliki, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36af,geoapify_json,2026-03-24 00:17:00.280,At mejdan,Sarajevo,Bosnia and Herzegovina,71144,Hamdije Kreševljakovića,"tourism, tourism.sights, tourism.sights.archaeological_site",18.42718282322576,43.856672250536846,,"At mejdan, Hamdije Kreševljakovića, 71144 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b0,geoapify_json,2026-03-24 00:17:00.281,Tašlihan,Sarajevo,Bosnia and Herzegovina,71144,Zelenih beretki,"tourism, tourism.sights, tourism.sights.archaeological_site",18.42791229528881,43.85859200053679,,"Tašlihan, Zelenih beretki, 71144 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b1,geoapify_json,2026-03-24 00:17:00.282,Velika kula Barice,City of Sarajevo,Bosnia and Herzegovina,71200,Barice,"building, building.historic, tourism, tourism.sights, tourism.sights.castle",18.442555774850888,43.88391380053615,,"Velika kula Barice, Barice, 71200 City of Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b2,geoapify_json,2026-03-24 00:17:00.282,Džamija Šejh Feraha,Sarajevo,Bosnia and Herzegovina,71200,Abdesthana,"building, building.historic, building.place_of_worship, heritage, religion, religion.place_of_worship, religion.place_of_worship.islam, tourism, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.mosque",18.432882184146344,43.86157620053672,,"Džamija Šejh Feraha, Abdesthana, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b3,geoapify_json,2026-03-24 00:17:00.282,Zgrada željezničke stanice Bistrik,Sarajevo,Bosnia and Herzegovina,71144,Put Mladih Muslimana,"building, building.historic, building.tourism, building.transportation, entertainment, entertainment.museum, tourism, tourism.sights",18.432780699999995,43.852725250536935,,"Zgrada željezničke stanice Bistrik, Put Mladih Muslimana, 71144 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b4,geoapify_json,2026-03-24 00:17:00.283,Palež kula,MZ Trebević,Bosnia and Herzegovina,71144,Књегињац,"building, building.historic, tourism, tourism.sights, tourism.sights.fort",18.42649774877675,43.838180100537286,,"Palež kula, Књегињац, 71144 MZ Trebević, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b5,geoapify_json,2026-03-24 00:17:00.283,Kula Ploče,Sarajevo,Bosnia and Herzegovina,71200,Dizdareva,"building, building.historic, tourism, tourism.sights, tourism.sights.city_gate",18.43657015901379,43.86315605053667,,"Kula Ploče, Dizdareva, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b6,geoapify_json,2026-03-24 00:17:00.283,Kuća Alije Đerzeleza,Sarajevo,Bosnia and Herzegovina,71200,Sagrdžije,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights",18.429591774258867,43.86443245053664,,"Kuća Alije Đerzeleza, Sagrdžije, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b7,geoapify_json,2026-03-24 00:17:00.284,Hastahana,Sarajevo,Bosnia and Herzegovina,,,"tourism, tourism.sights, tourism.sights.square",18.410173715520433,43.85736105053682,,"Hastahana, Mjesna zajednica Marijin Dvor, Sarajevo, Sarajevo Canton, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b8,geoapify_json,2026-03-24 00:17:00.284,Gazi Husrev-begovo turbe,Sarajevo,Bosnia and Herzegovina,71200,Čizmedžiluk,"building, building.historic, tourism, tourism.sights, tourism.sights.memorial, tourism.sights.memorial.tomb",18.42934343549286,43.85918000053678,,"Tomb of Gazi Khusrev-beg, Čizmedžiluk, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36b9,geoapify_json,2026-03-24 00:17:00.285,Šeher-ćehajina ćuprija,Sarajevo,Bosnia and Herzegovina,71200,Šeher-ćehajina ćuprija,"heritage, tourism, tourism.sights",18.434052332226834,43.85875590053679,,"Šeher-ćehaja Bridge, Šeher-ćehajina ćuprija, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36ba,geoapify_json,2026-03-24 00:17:00.285,Goat's Bridge,Sarajevo,Bosnia and Herzegovina,71200,Kozija ćuprija,"heritage, man_made, man_made.bridge, tourism, tourism.sights, tourism.sights.bridge",18.457187030166352,43.853652550536914,,"Goat's Bridge, Kozija ćuprija, 71200 Sarajevo, Bosnia and Herzegovina"
69c1c9ec21c9fc4ece6b36bb,sample_csv,2026-03-24 00:17:00.286,,,,,,,,,,
69c1c9ec21c9fc4ece6b36bc,sample_csv,2026-03-24 00:17:00.286,,,,,,,,,,
69c1c9ec21c9fc4ece6b36bd,sample_csv,2026-03-24 00:17:00.287,,,,,,,,,,
69c1c9ec21c9fc4ece6b36be,sample_xml,2026-03-24 00:17:00.287,,,,,,,,,,
69c1c9ec21c9fc4ece6b36bf,sample_xml,2026-03-24 00:17:00.288,,,,,,,,,,
69c1d4919daa1ee998f75056,geoapify_api,2026-03-24 01:02:25.881,Dom Oružanih snaga BiH,Sarajevo,Bosnia and Herzegovina,71000,Zelenih beretki,"activity, activity.community_center, building, building.historic, building.public_and_civil, heritage, tourism, tourism.sights",18.424119991873905,43.857283450536826,http://www.mod.gov.ba/,"Armed Forces Hall of Bosnia and Herzegovina, Zelenih beretki 2, 71000 Sarajevo, Bosnia and Herzegovina"
