timestamp,place_count,avg_latitude,avg_longitude,rolling_3,rolling_6,rolling_12
2026-03-31,95,43.85827270264207,18.431051758708865,95.0,95.0,95.0
2026-04-30,295,43.85840809189273,18.428991774700112,195.0,195.0,195.0
2026-05-31,311,43.85853075682361,18.428201986452518,233.66666666666666,233.66666666666666,233.66666666666666
